time,signal
5.510054,0.01076182
5.510419,0.01076254
5.511525,0.0107647
5.513377,0.01076832
5.515957,0.01077336
5.519286,0.01077986
5.523353,0.0107878
5.528183,0.01079724
5.533752,0.01080812
5.540092,0.0108205
5.547199,0.01083439
5.555075,0.01084977
5.563735,0.01086669
5.573185,0.01088515
5.583436,0.01090518
5.5945,0.0109268
5.606376,0.01095
5.619091,0.01097484
5.632662,0.01100136
5.647081,0.01102953
5.662391,0.01105944
5.678588,0.01109109
5.695697,0.01112452
5.713743,0.01115978
5.732729,0.01119688
5.752697,0.0112359
5.773663,0.01127688
5.79565,0.01131985
5.818676,0.01136485
5.842782,0.01141197
5.867994,0.01146124
5.894341,0.01151275
5.921858,0.01156654
5.950581,0.01162269
5.980544,0.01168127
6.011796,0.01174238
6.044377,0.01180609
6.078325,0.01187247
6.113685,0.01194163
6.150554,0.01201374
6.188927,0.01208881
6.228891,0.01216699
6.270511,0.01224842
6.313851,0.01233323
6.358983,0.01242156
6.405982,0.01251355
6.454942,0.0126094
6.505938,0.01270925
6.559067,0.0128133
6.614444,0.01292176
6.672168,0.01303485
6.732353,0.01315278
6.795149,0.01327585
6.860675,0.0134043
6.929087,0.01353845
7.000549,0.01367861
7.075231,0.01382513
7.153328,0.01397839
7.235051,0.01413882
7.320627,0.01430687
7.410297,0.01448302
7.504341,0.01466783
7.603054,0.01486189
7.706761,0.01506586
7.815822,0.01528045
7.930645,0.01550649
8.051668,0.01574484
8.179386,0.01599652
8.314339,0.0162626
8.457153,0.01654434
8.608495,0.0168431
8.769174,0.01716048
8.940023,0.0174982
9.122059,0.01785829
9.316417,0.01824304
9.524364,0.01865504
9.747407,0.01909731
9.987261,0.01957335
10.24593,0.02008721
10.52574,0.02064364
10.82943,0.02124819
11.16029,0.02190753
11.5222,0.02262959
11.91986,0.02342393
12.35898,0.0243022
12.84657,0.0252787
13.39136,0.02637126
14.00435,0.02760234
14.69951,0.02900053
15.49507,0.03060313
16.4151,0.03245939
17.49204,0.0346358
18.77087,0.0372245
20.31564,0.04035683
22.22091,0.04422675
24.63229,0.04913302
27.78634,0.05556114
32.09491,0.06435654
38.34404,0.07713311
48.24458,0.09740383
66.35851,0.1345369
110.2819,0.2246677
373.5714,0.7652918
-240.5878,0.4960574
-86.97768,0.1806906
-51.48201,0.1078979
-35.66987,0.07553847
-26.70224,0.05724712
-20.91066,0.04549191
-16.84989,0.03730684
-13.83519,0.03128821
-11.50021,0.02668657
-9.631067,0.02306615
-8.094548,0.02015744
-6.803178,0.01778559
-5.697167,0.01583336
-4.734129,0.01422002
-3.883177,0.01288918
-3.121184,0.01180082
-2.430414,0.01092626
-1.796978,0.01024417
-1.209794,0.009738004
-0.6597958,0.009393698
-0.1394731,0.009198183
0.3575972,0.00913869
0.8369799,0.009202533
1.303654,0.00937752
1.762164,0.009652518
2.216812,0.01001805
2.671743,0.01046671
3.131124,0.01099341
3.599238,0.01159548
4.080646,0.01227279
4.580322,0.01302769
5.103844,0.01386522
5.657611,0.01479318
6.249195,0.0158228
6.887628,0.01696905
7.584035,0.0182518
8.352277,0.01969707
9.210107,0.02133927
10.18069,0.02322426
11.29493,0.02541404
12.59519,0.02799437
14.14133,0.03108715
16.0208,0.03487106
18.36688,0.03961904
21.39345,0.04576962
25.46691,0.05407467
